"link","word","l1","l2","l3","l4","l5"
"https://kbbi.kemdikbud.go.id/entri/akrab","akrab","a","k","r","a","b"
"https://kbbi.kemdikbud.go.id/entri/aksen","aksen","a","k","s","e","n"
"https://kbbi.kemdikbud.go.id/entri/aksep","aksep","a","k","s","e","p"
"https://kbbi.kemdikbud.go.id/entri/akses","akses","a","k","s","e","s"
"https://kbbi.kemdikbud.go.id/entri/aksis","aksis","a","k","s","i","s"
"https://kbbi.kemdikbud.go.id/entri/akson","akson","a","k","s","o","n"
"https://kbbi.kemdikbud.go.id/entri/aktif","aktif","a","k","t","i","f"
"https://kbbi.kemdikbud.go.id/entri/aktin","aktin","a","k","t","i","n"
"https://kbbi.kemdikbud.go.id/entri/aktip","aktip","a","k","t","i","p"
"https://kbbi.kemdikbud.go.id/entri/aktor","aktor","a","k","t","o","r"
"https://kbbi.kemdikbud.go.id/entri/akuan","akuan","a","k","u","a","n"
"https://kbbi.kemdikbud.go.id/entri/akuwu","akuwu","a","k","u","w","u"
"https://kbbi.kemdikbud.go.id/entri/akwai","akwai","a","k","w","a","i"
"https://kbbi.kemdikbud.go.id/entri/akwal","akwal","a","k","w","a","l"
"https://kbbi.kemdikbud.go.id/entri/alaan","alaan","a","l","a","a","n"
"https://kbbi.kemdikbud.go.id/entri/alami","alami","a","l","a","m","i"
"https://kbbi.kemdikbud.go.id/entri/alane","alane","a","l","a","n","e"
"https://kbbi.kemdikbud.go.id/entri/alang","alang","a","l","a","n","g"
"https://kbbi.kemdikbud.go.id/entri/alarm","alarm","a","l","a","r","m"
"https://kbbi.kemdikbud.go.id/entri/alata","alata","a","l","a","t","a"
"https://kbbi.kemdikbud.go.id/entri/alban","alban","a","l","b","a","n"
"https://kbbi.kemdikbud.go.id/entri/albas","albas","a","l","b","a","s"
"https://kbbi.kemdikbud.go.id/entri/alber","alber","a","l","b","e","r"
"https://kbbi.kemdikbud.go.id/entri/albit","albit","a","l","b","i","t"
"https://kbbi.kemdikbud.go.id/entri/album","album","a","l","b","u","m"
"https://kbbi.kemdikbud.go.id/entri/aldol","aldol","a","l","d","o","l"
"https://kbbi.kemdikbud.go.id/entri/alena","alena","a","l","e","n","a"
"https://kbbi.kemdikbud.go.id/entri/algam","algam","a","l","g","a","m"
"https://kbbi.kemdikbud.go.id/entri/algin","algin","a","l","g","i","n"
"https://kbbi.kemdikbud.go.id/entri/algol","algol","a","l","g","o","l"
"https://kbbi.kemdikbud.go.id/entri/alhub","alhub","a","l","h","u","b"
"https://kbbi.kemdikbud.go.id/entri/aliah","aliah","a","l","i","a","h"
"https://kbbi.kemdikbud.go.id/entri/alias","alias","a","l","i","a","s"
"https://kbbi.kemdikbud.go.id/entri/alibi","alibi","a","l","i","b","i"
"https://kbbi.kemdikbud.go.id/entri/alien","alien","a","l","i","e","n"
"https://kbbi.kemdikbud.go.id/entri/aling","aling","a","l","i","n","g"
"https://kbbi.kemdikbud.go.id/entri/alino","alino","a","l","i","n","o"
"https://kbbi.kemdikbud.go.id/entri/alins","alins","a","l","i","n","s"
